     ELL,         D_ELL,        ERRUP,      ERRDOWN
       I,             E,            E,            E
    none,      muKcmb^2,     muKcmb^2,     muKcmb^2
2,242.202,563.606,140.101
3,886.209,1144.911,424.204
4,728.107,697.007,307.903
5,1391.614,1066.911,530.005
6,542.605,357.904,191.802
7,1122.711,647.206,367.304
8,657.007,340.503,202.002
9,649.006,310.903,191.102
10,874.709,385.704,244.102
11,986.01,403.904,262.203
12,783.108,303.903,201.502
13,678.707,250.103,168.702
14,824.508,286.503,196.502
15,877.409,291.803,203.102
16,703.907,230.902,162.502
17,881.209,272.003,193.802
18,680.007,204.002,146.801
19,841.808,244.402,177.602
20,763.308,213.102,156.402
21,670.407,184.902,136.701
22,600.506,162.202,120.801
23,774.008,201.302,151.002
24,822.608,207.002,156.202
25,848.708,211.302,160.702
26,903.509,217.802,166.702
27,897.509,210.502,161.802
28,1142.311,261.603,201.702
29,1140.011,255.503,198.302
